#NGB ID	Accession ID	CNSA ID	Homogeneity	Seed color	Seedling size	Seedling cotyledon shape	Seedling cotyledon color	Seedling anthocyanin presence	Leaf shape cultivated material	Leaf shape wild material	Leaf thickness	Leaf blistering	Leaf margin undulation	Leaf venation	Leaf division	Leaf tip shape	Leaf color	Leaf color intensity	Leaf anthocyanin content	Leaf anthocyanin distribution	Leaf anthocyanin pattern	Leaf vein prickles presence	Leaf vein prickles extent	Incision of rosette leaves	Incision of cauline leaves	Side shoot formation tendency	Tipburn sensitivity	Plant diameter	Head shape	Head leafs overlap	Head height	Heart formation	Stem anthocyanin presence	Stem anthocyanin content	Stem prickles presence	Stem prickles extent	Flower color	Flower anthocyanin presence	Flowering time (day)	Sclerotinia sclerotiorum	Macros. euphorbiae field resistance	Macros. euphorbiae greenhouse test	Uroleucon sonchi	Pemphigus bursarius	Nasonovia ribisnigri nr:0 labtest	Tomato spotted wilt virus	Erysiphe cichoracearum	Bremia lactucae race 1	Bremia lactucae race 2	Bremia lactucae race 3	Bremia lactucae race 4	Bremia lactucae race 5	Bremia lactucae race 6	Bremia lactucae race 7	Bremia lactucae race 10	Bremia lactucae race 11	Bremia lactucae race 12	Bremia lactucae race 13	Bremia lactucae race 14	Bremia lactucae race 15	Bremia lactucae race 16	Bremia lactucae race 17	Bremia lactucae race 18	Bremia lactucae race 19	Bremia lactucae race 20	Bremia lactucae race 21	Bremia lactucae race 22	Bremia lactucae race 23	Bremia lactucae race 24	Bremia lactucae race 25	Bremia lactucae race 26	Bremia lactucae race 27	Bremia lactucae race 28	Bremia lactucae race 29	Bremia lactucae race 30	Bremia lactucae race 31	Bremia lactucae race s1	Bremia lactucae race sf1	Bremia lactucae race Cs9	Bremia lactucae race IL4	Bremia lactucae race tV	Bremia lactucae race CsK 12/81	Bremia lactucae race CsK 26/81	Bremia lactucae race CsK 27/81	Bremia lactucae race CsK 1/82	Bremia lactucae race CsK 2/82	Bremia lactucae race CsK 3/82	Bremia lactucae race CsK 4/82	Bremia lactucae race usA 92O47 	Bremia lactucae race usA 92D53-10	Bremia lactucae race usA 93D11	Bremia lactucae race usA 93D12	Bremia lactucae race usA 93D13	Bremia lactucae race usA 93D14	Bremia lactucae race Deu fs1	Bremia lactucae race Deu sR2	Bremia lactucae race Deu sAW1	Bremia lactucae race Deu DeG2	Bremia lactucae race field resistance	Bremia lactucae race 29/31/As-11	Bremia lactucae race 27/29/31
NGBLS00296	TKI-305	CNS0047794	--	--	--	--	--	--	--	oval	--	--	--	--	--	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	5	9	1	7	9	--	--	9	8	9	7	9	7	9	--	9	9	3	9	9	--	--	--	7	--	--	--	--	9	5	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00297	TKI-306	CNS0047744	--	--	--	--	--	--	--	oval	--	--	--	--	1	--	--	--	very low	--	--	--	low	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	5	9	1	7	8	--	--	8	9	9	8	9	7	9	--	9	9	5	9	9	6	7	--	8	7	7	7	7	7	7	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00298	TKI-307	CNS0047648	--	--	--	--	--	--	--	oval	--	--	--	--	1	--	--	--	very low	--	--	--	--	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	3	9	1	9	9	8	--	3	7	9	8	9	9	9	--	9	9	3	7	9	--	6	5	7	7	6	7	2	7	3	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00299	TKI-308	CNS0047695	--	--	--	--	--	--	--	oval	--	--	--	--	1	medium round	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	9	9	1	8	9	9	--	9	9	9	9	9	7	9	--	9	9	7	9	9	7	9	7	9	8	9	7	8	9	5	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00300	TKI-309	CNS0047806	--	--	--	--	--	--	--	oval	--	--	--	--	1	--	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	7	8	1	1	1	8	8	2	--	9	8	9	--	9	--	8	--	--	8	1	7	9	--	6	5	7	7	7	--	1	7	1	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00301	TKI-310	CNS0047619	--	--	--	--	--	--	--	oval	--	--	--	--	1	medium round	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	8	9	5	9	1	8	9	8	--	8	8	9	--	9	7	9	--	9	9	6	9	9	--	7	7	7	7	3	--	7	7	9	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00302	TKI-311	CNS0047516	--	--	--	--	--	--	--	oval	--	--	--	--	--	medium round	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	7	--	5	8	9	9	--	9	8	9	9	9	7	9	--	9	9	5	9	8	7	7	7	8	7	7	7	5	7	9	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00303	TKI-312	CNS0047729	--	--	--	--	--	--	--	oval	--	--	--	--	1	medium round	--	--	very low	--	--	--	very high	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	1	9	1	1	1	1	--	9	--	1	9	9	8	9	1	1	--	9	9	1	9	1	1	--	7	1	1	1	3	2	9	9	--	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00304	TKI-313	CNS0047524	--	--	--	--	--	--	--	oval	--	--	--	--	1	medium round	--	--	very low	--	--	--	--	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	9	9	1	9	1	8	9	8	--	2	7	9	8	9	9	9	--	9	9	5	9	9	8	--	7	7	8	8	7	1	7	9	9	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00305	TKI-314	CNS0047841	homogeneous	black	--	broad elliptic to circular	--	present	--	--	--	--	--	--	1	very pointed	--	--	--	--	--	--	low	--	--	--	--	--	--	--	--	--	--	low	--	low	yellow	present	118	--	--	--	--	--	9	--	--	--	7	--	9	9	6	9	5	--	9	7	7	3	9	1	3	--	4	2	6	9	3	4	1	--	2	3	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	--
NGBLS00306	TKI-315	CNS0047583	--	--	--	--	--	--	--	oval	--	--	--	--	1	--	--	--	--	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	intermediate	--	present	--	--	--	--	--	--	9	--	--	5	5	--	4	7	5	5	3	--	5	6	4	5	5	2	5	--	8	9	6	5	3	6	4	3	3	4	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00307	TKI-316	CNS0047790	homogeneous	black	--	broad elliptic to circular	--	absent	--	triangular	--	--	--	--	1	pointed	--	--	--	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very high	yellow	present	115	--	--	--	--	--	9	--	--	8	9	--	9	7	7	9	8	--	9	5	8	7	5	6	7	--	9	9	7	6	9	8	8	8	8	7	9	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1
NGBLS00308	TKI-317	CNS0047627	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	--	--	--	--	high	--	--	--	--	--	--	--	--	--	--	intermediate	--	intermediate	--	present	--	--	--	--	--	--	9	--	--	9	9	--	9	9	7	9	8	--	9	9	7	7	5	3	9	--	9	9	9	5	9	7	--	7	6	7	9	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00309	TKI-318	CNS0047505	intermediate	black	--	narrow elliptic	--	present	--	oval	--	--	--	--	1	pointed	--	--	--	--	--	--	very low	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	118	--	--	--	--	--	9	--	--	8	9	--	8	9	6	9	7	--	9	9	9	7	9	2	7	--	9	5	9	9	7	8	7	7	7	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00310	TKI-319	CNS0047637	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	medium round	--	--	--	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	intermediate	--	present	--	--	--	--	--	--	9	--	--	9	9	--	7	9	9	9	9	--	9	7	8	7	9	7	9	--	9	7	9	8	--	9	5	--	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00311	TKI-320	CNS0047669	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	--	--	--	--	low	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	2	1	--	2	3	1	3	1	--	9	3	3	2	9	1	9	--	8	6	3	9	--	7	5	1	8	9	2	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00312	TKI-321	CNS0047734	--	--	--	--	--	--	--	--	--	--	--	--	1	--	--	--	--	--	--	--	low	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	9	5	--	7	5	5	5	6	--	9	5	5	5	7	4	9	--	9	--	7	9	7	7	5	5	8	7	4	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00313	TKI-322	CNS0047829	intermediate	black	--	narrow elliptic	--	absent	--	--	--	--	--	--	--	very pointed	--	--	--	--	--	--	low	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	118	--	--	--	--	--	9	--	--	8	7	--	9	7	8	9	7	--	9	8	--	9	9	9	5	--	9	9	9	9	9	--	5	6	6	7	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00314	TKI-323	CNS0047924	--	--	--	--	--	--	--	oval	--	--	--	--	1	medium round	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	9	9	--	9	9	8	9	--	--	9	6	8	9	9	--	9	--	9	8	9	9	9	8	8	8	7	7	9	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00315	TKI-324	CNS0047635	heterogeneous	black	--	broad elliptic to circular	--	absent	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	yellow	present	111	--	--	--	--	--	9	--	--	8	9	--	8	7	6	9	8	--	9	6	--	5	5	--	5	--	8	1	6	6	--	3	3	7	--	7	8	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00316	TKI-325	CNS0047626	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	--	--	--	--	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	intermediate	--	present	--	--	--	--	--	--	9	--	--	7	8	--	9	9	4	9	6	--	9	7	3	7	9	3	6	--	8	2	8	8	7	3	3	6	--	4	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00317	TKI-326	CNS0047679	--	--	--	--	--	--	--	oval	--	--	--	--	1	very pointed	--	--	--	--	--	--	very low	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	1	1	--	1	1	1	1	1	--	1	1	1	1	1	1	1	--	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00318	TKI-327	CNS0047731	--	--	--	--	--	--	--	obovate	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	very low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	2	3	2	4	1	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00319	TKI-328	CNS0047662	--	--	--	--	--	--	--	oval	--	--	--	--	--	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	5	--	6	6	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00320	TKI-329	CNS0047916	--	--	--	--	--	--	--	oval	--	--	--	--	0	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	very low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7	5	--	--	7	8	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00321	TKI-330	CNS0047811	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	very low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	5	--	7	7	--	8	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00322	TKI-331	CNS0047816	--	--	--	--	--	--	--	oval	--	--	--	--	1	very pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7	5	7	7	4	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00323	TKI-332	CNS0047919	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	5	5	--	5	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00324	TKI-333	CNS0047817	--	--	--	--	--	--	--	oval	--	--	--	--	0	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7	7	5	7	7	5	4	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00325	TKI-334	CNS0047684	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	intermediate	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	2	1	1	2	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00326	TKI-335	CNS0047882	--	--	--	--	--	--	--	oval	--	--	--	--	--	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	very low	--	low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7	7	5	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00327	TKI-336	CNS0047621	--	--	--	--	--	--	--	oval	--	--	--	--	1/3	pointed	--	--	very low	--	--	--	low	--	--	--	--	--	--	--	--	--	--	very low	--	low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7	7	7	6	7	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00328	TKI-337	CNS0047938	--	--	--	--	--	--	--	oval	--	--	--	--	2/3	very pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	5	5	--	--	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00329	TKI-338	CNS0047607	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	3	4	--	--	6	--	3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00330	TKI-339	CNS0047590	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	--	1	3	3	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00331	TKI-340	CNS0047707	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00332	TKI-341	CNS0047918	--	black	--	--	--	--	--	linear	--	--	--	--	--	pointed	--	--	very low	--	--	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	--	--	--	--	--	--	--	--	4	5	3	3	5	3	1	3	3	3	1	3	3	3	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	3	3	1	3	3	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00333	TKI-342	CNS0047873	--	black	intermediate	--	--	present	--	linear	--	--	--	--	1/2	pointed	--	--	very low	--	--	absent	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	8	--	8	2	--	3	1	3	3	3	--	1	2	--	2	--	2	3	9	4	5	3	1	3	--	--	--	--	--	--	--	--	5	1	1	--	1	1	3	3	1	3	3	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00334	TKI-343	CNS0047932	--	black	--	narrow elliptic	medium green	present	--	linear	--	--	--	--	1	medium round	--	--	intermediate	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	7	1	0	1	2	1	1	1	2	1	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00335	TKI-344	CNS0047726	--	black	--	narrow elliptic	medium green	present	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	present	--	--	--	--	--	--	8	3	7	1	1	1	3	1	3	1	5	1	2	--	1	--	--	3	7	--	4	3	2	2	--	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00336	TKI-345	CNS0047944	--	black	--	narrow elliptic	medium green	present	--	linear	--	--	--	--	1/3	medium round	--	--	intermediate	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00337	TKI-347	CNS0047563	--	black	--	narrow elliptic	medium green	--	--	oval	--	--	--	--	1	pointed	--	--	low	localised	diffused	present	low	--	--	--	--	--	--	--	--	--	present	low	absent	very low	yellow	present	--	--	--	--	--	--	--	1	0	1	1	1	1	1	3	3	1	1	3	3	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	1	3	1	1	3	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00338	TKI-348	CNS0047787	--	black	intermediate	--	--	present	--	linear	--	--	--	--	1	pointed	--	--	intermediate	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	7	3	0	1	1	1	1	1	1	1	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00339	TKI-349	CNS0047844	--	black	intermediate	--	--	present	--	obovate	--	--	--	--	1/3	pointed	--	--	very low	--	--	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	7	1	3	1	1	1	1	1	2	2	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	1	--
NGBLS00340	TKI-350	CNS0047802	--	black	--	narrow elliptic	medium green	present	--	obovate	--	--	--	--	1/2	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	7	--	0	1	1	1	1	2	1	2	3	1	2	3	1	1	1	1	1	2	2	1	1	2	3	--	--	--	--	--	--	--	1	1	1	1	1	1	3	1	1	3	1	3	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00341	TKI-351	CNS0047765	--	black	--	narrow elliptic	medium green	present	--	obovate	--	--	--	--	2/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	--	2	2	1	1	5	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00342	TKI-352	CNS0047885	--	black	--	narrow elliptic	medium green	present	--	obovate	--	--	--	--	2/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	present	--	--	present	--	--	--	--	--	--	--	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	3	3	1	3	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00343	TKI-353	CNS0047855	--	black	--	narrow elliptic	medium green	present	--	oval	--	--	--	--	1	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	present	--	--	present	--	--	--	--	--	--	7	4	0	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	1	--
NGBLS00344	TKI-354	CNS0047706	--	black	intermediate	--	--	present	--	linear	--	--	--	--	1/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	present	--	--	present	--	--	--	--	--	--	--	2	4	1	1	5	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	1	--
NGBLS00345	TKI-355	CNS0047807	--	black	--	narrow elliptic	medium green	--	--	obovate	--	--	--	--	2/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	present	--	--	present	--	--	--	--	--	--	8	4	0	1	1	1	1	1	1	1	--	1	1	1	1	1	1	3	1	1	1	1	1	1	1	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	9	--
NGBLS00346	TKI-356	CNS0047705	--	black	--	narrow elliptic	medium green	present	--	oval	--	--	--	--	2/3	pointed	--	--	low	localised	diffused	present	low	--	--	--	--	--	--	--	--	--	present	low	present	low	yellow	present	--	--	--	--	--	--	--	1	0	1	1	3	1	3	7	3	3	1	1	3	1	3	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	3	3	1	3	1	1	--	--	--	--	--	--	1	1	1	1	--	9	--
NGBLS00347	TKI-357	CNS0047740	--	black	intermediate	--	--	present	--	--	--	--	--	--	2/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	8	4	0	3	1	1	2	1	5	2	3	1	1	1	1	--	2	1	3	1	3	1	1	3	5	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	9	--
NGBLS00348	TKI-358	CNS0047690	--	black	intermediate	--	--	present	--	linear	--	--	--	--	1/2	medium round	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	--	3	4	1	1	1	1	1	1	1	3	1	1	1	1	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	1	1	1	1	1	1	1	1	1	1	1	1	--	--	--	--	--	9	--
NGBLS00349	TKI-359	CNS0047867	--	black	--	narrow elliptic	medium green	present	--	linear	--	--	--	--	1/3	pointed	--	--	low	localised	diffused	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	9	--	0	2	1	5	1	2	4	3	2	2	2	3	1	1	2	3	1	4	3	1	1	2	5	--	--	--	--	--	--	--	5	1	1	1	1	1	3	3	3	3	3	3	1	1	1	1	1	1	--	--	--	--	--	9	--
NGBLS00350	TKI-360	CNS0047692	--	black	intermediate	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	present	--	--	--	--	--	--	--	--	--	--	present	--	absent	--	--	present	--	--	--	--	--	--	9	--	0	1	1	1	1	3	3	2	--	1	1	--	1	2	1	3	1	1	3	1	1	2	--	--	--	--	--	--	--	--	1	1	1	1	1	1	3	1	3	3	1	3	1	1	1	1	1	1	2	1	1	1	--	1	--
