#NGB ID	Accession ID	CNSA ID	Homogeneity	Seed color	Seedling size	Seedling cotyledon shape	Seedling cotyledon color	Seedling anthocyanin presence	Leaf shape cultivated material	Leaf shape wild material	Leaf thickness	Leaf blistering	Leaf margin undulation	Leaf venation	Leaf division	Leaf tip shape	Leaf color	Leaf color intensity	Leaf anthocyanin content	Leaf anthocyanin distribution	Leaf anthocyanin pattern	Leaf vein prickles presence	Leaf vein prickles extent	Incision of rosette leaves	Incision of cauline leaves	Side shoot formation tendency	Tipburn sensitivity	Plant diameter	Head shape	Head leafs overlap	Head height	Heart formation	Stem anthocyanin presence	Stem anthocyanin content	Stem prickles presence	Stem prickles extent	Flower color	Flower anthocyanin presence	Flowering time (day)	Sclerotinia sclerotiorum	Macros. euphorbiae field resistance	Macros. euphorbiae greenhouse test	Uroleucon sonchi	Pemphigus bursarius	Nasonovia ribisnigri nr:0 labtest	Tomato spotted wilt virus	Erysiphe cichoracearum	Bremia lactucae race 1	Bremia lactucae race 2	Bremia lactucae race 3	Bremia lactucae race 4	Bremia lactucae race 5	Bremia lactucae race 6	Bremia lactucae race 7	Bremia lactucae race 10	Bremia lactucae race 11	Bremia lactucae race 12	Bremia lactucae race 13	Bremia lactucae race 14	Bremia lactucae race 15	Bremia lactucae race 16	Bremia lactucae race 17	Bremia lactucae race 18	Bremia lactucae race 19	Bremia lactucae race 20	Bremia lactucae race 21	Bremia lactucae race 22	Bremia lactucae race 23	Bremia lactucae race 24	Bremia lactucae race 25	Bremia lactucae race 26	Bremia lactucae race 27	Bremia lactucae race 28	Bremia lactucae race 29	Bremia lactucae race 30	Bremia lactucae race 31	Bremia lactucae race s1	Bremia lactucae race sf1	Bremia lactucae race Cs9	Bremia lactucae race IL4	Bremia lactucae race tV	Bremia lactucae race CsK 12/81	Bremia lactucae race CsK 26/81	Bremia lactucae race CsK 27/81	Bremia lactucae race CsK 1/82	Bremia lactucae race CsK 2/82	Bremia lactucae race CsK 3/82	Bremia lactucae race CsK 4/82	Bremia lactucae race usA 92O47 	Bremia lactucae race usA 92D53-10	Bremia lactucae race usA 93D11	Bremia lactucae race usA 93D12	Bremia lactucae race usA 93D13	Bremia lactucae race usA 93D14	Bremia lactucae race Deu fs1	Bremia lactucae race Deu sR2	Bremia lactucae race Deu sAW1	Bremia lactucae race Deu DeG2	Bremia lactucae race field resistance	Bremia lactucae race 29/31/As-11	Bremia lactucae race 27/29/31
NGBLS00276	TKI-285	CNS0047639	--	black	--	--	--	--	--	oval	--	--	--	--	1/3	round	--	--	--	--	--	--	high	--	--	--	--	--	--	--	--	--	--	low	--	low	yellow	present	--	--	--	--	--	--	4	--	--	1	1	--	1	1	1	1	1	--	9	1	1	1	9	1	9	--	8	1	1	7	--	9	5	1	5	9	1	1	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9
NGBLS00277	TKI-286	CNS0047890	--	black	--	--	--	--	--	oval	--	--	--	--	0	pointed	--	--	--	--	--	--	high	--	--	--	--	--	--	--	--	--	--	low	--	intermediate	yellow	present	--	--	--	--	--	--	9	--	--	7	9	--	9	9	7	9	8	--	9	9	8	7	9	5	9	--	9	6	9	9	8	9	6	8	9	9	9	8	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00278	TKI-287	CNS0047945	--	black	--	--	--	--	--	oval	--	--	--	--	2/3	medium round	--	--	--	--	--	--	high	--	--	--	--	--	--	--	--	--	--	low	--	intermediate	yellow	present	--	--	--	--	--	--	9	--	--	6	9	--	7	9	6	9	4	--	9	7	7	7	8	--	9	--	8	--	8	7	7	--	--	--	7	6	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00279	TKI-288	CNS0047580	--	black	--	--	--	--	--	oval	--	--	--	--	2/3	medium round	--	--	--	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	intermediate	yellow	present	--	--	--	--	--	--	9	--	--	6	9	--	9	9	8	9	7	--	9	9	8	7	9	--	9	--	8	1	9	9	8	7	1	--	7	5	7	6	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00280	TKI-289	CNS0047861	--	black	--	--	--	--	--	oval	--	--	--	--	--	--	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	--	yellow	present	--	--	--	--	--	--	9	--	--	7	5	--	5	7	5	5	5	--	9	5	3	5	9	--	9	--	9	7	6	8	7	6	--	3	7	3	4	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	1	--
NGBLS00281	TKI-290	CNS0047655	--	black	--	--	--	--	--	oval	--	--	--	--	1	very pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	--	yellow	present	--	--	--	--	--	--	9	--	--	5	5	8	8	--	5	5	8	5	7	5	3	8	5	7	6	7	8	5	5	9	7	--	5	--	6	7	7	6	8	7	7	8	9	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00282	TKI-291	CNS0047694	--	black	--	--	--	--	--	oval	--	--	--	--	2/3	very pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	9	--	--	8	5	--	5	7	5	5	5	--	9	6	6	5	5	6	9	--	8	--	7	6	9	--	5	--	7	7	--	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	9	--
NGBLS00283	TKI-292	CNS0047616	--	black	--	--	--	--	--	oval	--	--	--	--	0	medium round	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	yellow	present	--	--	--	--	--	--	9	--	--	9	9	--	9	9	6	9	8	--	9	8	8	7	7	7	9	--	9	--	9	9	7	8	5	5	7	8	8	8	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
NGBLS00284	TKI-293	CNS0047691	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	high	--	--	--	--	--	--	--	--	--	--	low	--	low	--	present	--	--	--	--	--	--	9	--	--	1	1	--	1	1	1	3	1	--	1	2	1	1	2	1	1	--	1	1	2	1	1	1	1	1	1	2	2	2	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	7
NGBLS00285	TKI-294	CNS0047887	--	--	--	--	--	--	--	oval	--	--	--	--	1	pointed	--	--	very low	--	--	--	intermediate	--	--	--	--	--	--	--	--	--	--	low	--	very low	--	present	--	--	--	--	--	--	9	--	--	7	8	8	7	--	5	7	7	5	6	6	5	7	9	7	6	7	9	9	6	7	7	7	6	4	8	7	6	8	7	8	7	9	7	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
